feature,gain
avg_salary_scaled,100.68761444091797
tfidf_7,61.895957946777344
tfidf_10,21.070396423339844
company_tier_enc,16.339004516601562
Company Size_enc,13.638935089111328
min_salary_scaled,12.395159721374512
tfidf_21,5.266091823577881
tfidf_175,4.927525043487549
location_category_enc,4.636202335357666
tfidf_173,4.393959999084473
tfidf_126,3.8975727558135986
tfidf_64,3.329101800918579
tfidf_35,3.1849493980407715
tfidf_137,3.06614089012146
tfidf_176,2.9974844455718994
tfidf_120,2.991957902908325
tfidf_68,2.980646848678589
tfidf_186,2.9443631172180176
tfidf_65,2.939624547958374
tfidf_170,2.918051242828369
tfidf_26,2.838696002960205
tfidf_49,2.829150676727295
tfidf_76,2.795762062072754
tfidf_94,2.781524419784546
tfidf_144,2.7571749687194824
tfidf_159,2.7039902210235596
tfidf_192,2.6882612705230713
tfidf_161,2.681649684906006
tfidf_104,2.681145668029785
tfidf_108,2.659428119659424
tfidf_164,2.654977321624756
tfidf_151,2.6484246253967285
tfidf_32,2.648172378540039
tfidf_133,2.6465518474578857
tfidf_194,2.6081953048706055
tfidf_183,2.60593318939209
tfidf_42,2.6035637855529785
tfidf_139,2.5995466709136963
tfidf_155,2.5894832611083984
tfidf_145,2.5832598209381104
tfidf_34,2.5717058181762695
tfidf_160,2.54762601852417
tfidf_100,2.5440211296081543
tfidf_27,2.5409722328186035
tfidf_57,2.512899398803711
tfidf_85,2.512488603591919
tfidf_116,2.4839155673980713
tfidf_72,2.482341766357422
tfidf_9,2.4685730934143066
tfidf_118,2.460858106613159
tfidf_86,2.4592134952545166
tfidf_178,2.4473321437835693
tfidf_128,2.4450905323028564
tfidf_141,2.442110300064087
tfidf_110,2.433835029602051
tfidf_20,2.423982620239258
tfidf_142,2.4161720275878906
tfidf_31,2.40429425239563
tfidf_129,2.4013898372650146
tfidf_58,2.39892578125
tfidf_91,2.397576332092285
tfidf_166,2.393373489379883
tfidf_196,2.391730546951294
tfidf_114,2.385723352432251
tfidf_113,2.3766446113586426
tfidf_62,2.3691515922546387
tfidf_18,2.3648340702056885
tfidf_154,2.346289873123169
tfidf_167,2.340272903442383
tfidf_135,2.3398141860961914
tfidf_157,2.324289560317993
tfidf_56,2.322270631790161
tfidf_152,2.311915159225464
tfidf_136,2.303422212600708
tfidf_44,2.301778793334961
tfidf_12,2.2972898483276367
tfidf_117,2.2953641414642334
tfidf_40,2.284456491470337
tfidf_182,2.2830970287323
tfidf_60,2.279071092605591
tfidf_177,2.2526979446411133
tfidf_46,2.22047758102417
tfidf_106,2.2137749195098877
tfidf_149,2.2068657875061035
tfidf_162,2.2065672874450684
tfidf_11,2.2032148838043213
tfidf_55,2.203207492828369
tfidf_79,2.201104164123535
tfidf_36,2.1915085315704346
tfidf_17,2.173478126525879
tfidf_197,2.169938325881958
tfidf_70,2.1507365703582764
tfidf_153,2.143803119659424
tfidf_169,2.1360976696014404
tfidf_19,2.134629011154175
tfidf_54,2.132652997970581
tfidf_30,2.12777042388916
tfidf_77,2.124101400375366
tfidf_37,2.122938394546509
tfidf_13,2.121370315551758
tfidf_14,2.1031970977783203
tfidf_130,2.091827154159546
tfidf_163,2.090806484222412
tfidf_122,2.0821452140808105
tfidf_171,2.068418264389038
tfidf_84,2.0607876777648926
tfidf_25,2.060026168823242
tfidf_43,2.0513858795166016
tfidf_103,2.046977996826172
tfidf_61,2.045502185821533
tfidf_184,2.0407865047454834
tfidf_112,2.0330801010131836
tfidf_29,2.0239570140838623
Remote/Onsite_enc,2.010573387145996
tfidf_99,2.0093812942504883
tfidf_185,2.0083823204040527
tfidf_75,2.006983518600464
tfidf_24,2.0047450065612793
tfidf_127,1.997538685798645
tfidf_51,1.9950300455093384
tfidf_121,1.986253261566162
tfidf_82,1.9801750183105469
tfidf_67,1.978857159614563
tfidf_190,1.9759769439697266
tfidf_80,1.9758892059326172
tfidf_15,1.9645322561264038
tfidf_193,1.9566760063171387
tfidf_88,1.9545317888259888
tfidf_187,1.9534919261932373
tfidf_8,1.9496772289276123
tfidf_111,1.9460700750350952
tfidf_63,1.9431922435760498
tfidf_180,1.9300742149353027
tfidf_165,1.9247897863388062
tfidf_39,1.9182782173156738
tfidf_124,1.9160248041152954
tfidf_33,1.9066810607910156
tfidf_179,1.8982961177825928
tfidf_150,1.8922371864318848
tfidf_41,1.8902521133422852
tfidf_172,1.884972095489502
tfidf_156,1.8810678720474243
competition_index_scaled,1.8763881921768188
tfidf_97,1.8669939041137695
tfidf_143,1.8634968996047974
tfidf_4,1.8569331169128418
tfidf_109,1.8537003993988037
tfidf_22,1.8527204990386963
tfidf_52,1.85194730758667
tfidf_96,1.8508875370025635
tfidf_101,1.8380203247070312
tfidf_102,1.83601975440979
Number of Applicants,1.835209846496582
tfidf_47,1.829283356666565
competition_index,1.8285012245178223
tfidf_71,1.8271856307983398
tfidf_74,1.8262877464294434
tfidf_45,1.8175700902938843
job_attractiveness_scaled,1.8167712688446045
tfidf_195,1.8134044408798218
tfidf_168,1.8092350959777832
tfidf_69,1.7938116788864136
tfidf_48,1.7799643278121948
tfidf_59,1.7733052968978882
job_attractiveness,1.7629530429840088
tfidf_148,1.7587374448776245
tfidf_95,1.757285475730896
salary_exp_ratio_scaled,1.7516226768493652
tfidf_6,1.748802661895752
portal_category_enc,1.7441163063049316
tfidf_125,1.7428394556045532
tfidf_87,1.742340087890625
tfidf_158,1.7370965480804443
tfidf_138,1.7283045053482056
tfidf_115,1.7269723415374756
tfidf_78,1.7215837240219116
tfidf_5,1.7101777791976929
tfidf_189,1.7087751626968384
tfidf_146,1.7070525884628296
tfidf_191,1.697468876838684
min_experience_scaled,1.695496678352356
tfidf_28,1.6885682344436646
Job Type_enc,1.6573041677474976
tfidf_2,1.6527886390686035
tfidf_98,1.6507251262664795
tfidf_188,1.6465272903442383
tfidf_181,1.6436814069747925
desc_wordcount_scaled,1.6303094625473022
tfidf_140,1.628482460975647
tfidf_16,1.6038298606872559
tfidf_131,1.5950946807861328
tfidf_107,1.5947728157043457
tfidf_147,1.5921704769134521
tfidf_0,1.5863105058670044
tfidf_66,1.586190938949585
max_experience_scaled,1.5855886936187744
tfidf_73,1.5822664499282837
tfidf_81,1.5781748294830322
desc_wordcount,1.5616014003753662
tfidf_1,1.5587866306304932
tfidf_90,1.554951786994934
max_salary_scaled,1.5396860837936401
tfidf_89,1.512960433959961
tfidf_83,1.506881833076477
tfidf_3,1.5047658681869507
tfidf_53,1.4655498266220093
tfidf_174,1.455636978149414
tfidf_23,1.3858702182769775
tfidf_105,1.3756052255630493
tfidf_132,1.350497841835022
tfidf_50,1.3413879871368408
tfidf_38,1.318711519241333
tfidf_92,1.2374608516693115
tfidf_123,1.0927581787109375
tfidf_134,1.0362361669540405
tfidf_119,0.9766215085983276
tfidf_93,0.34482359886169434
